Platform,Tier,Harga (USD/mo),RAM (GB),Storage (GB),Slot Pemain,Uptime (%),vCPU
Aternos,Free,0.0,2,5,20,85.0,1
Minefort,Free,0.0,2,5,20,82.0,1
Server.pro,Free,0.0,2,10,10,80.0,1
FalixNodes,Free,0.0,1,5,8,78.0,1
ScalaCube,Free,0.0,1,8,10,80.0,1
Minefort,Paid,4.99,4,40,40,90.0,2
Server.pro,Premium+,5.99,3,20,20,92.0,2
Server.pro,Extreme,11.99,6,40,40,95.0,3
Shockbyte,Dirt,2.5,1,10,20,99.5,1
Shockbyte,Stone,5.0,2,20,40,99.5,1
Shockbyte,Iron,10.0,4,40,80,99.5,2
Shockbyte,Gold,20.0,8,80,160,99.5,2
Shockbyte,Titan,40.0,16,160,320,99.5,4
BisectHosting,Budget,2.99,2,20,40,99.9,2
BisectHosting,Premium4GB,9.99,4,40,80,99.9,2
BisectHosting,Premium8GB,18.99,8,80,160,99.9,4
BisectHosting,Premium16GB,35.99,16,160,320,99.9,4
PebbleHost,Basic,3.0,2,20,40,99.7,2
PebbleHost,Standard,6.0,4,40,80,99.7,2
PebbleHost,Pro,12.0,8,80,160,99.7,4
PebbleHost,Elite,24.0,16,160,320,99.7,4
ScalaCube,Entry,2.5,1,20,20,99.99,1
ScalaCube,Small,4.99,2,40,40,99.99,1
ScalaCube,Medium,19.99,8,80,80,99.99,2
ScalaCube,Large,39.99,16,120,120,99.99,4
ScalaCube,XL,79.99,32,200,200,99.99,8
Apex Hosting,Basic,7.49,2,20,40,99.9,2
Apex Hosting,Standard,14.99,4,40,80,99.9,2
Apex Hosting,Pro,29.99,8,80,160,99.9,4
Apex Hosting,Elite,59.99,16,160,320,99.9,4
MCProHosting,Dirt,5.99,2,20,40,99.9,2
MCProHosting,Stone,11.99,4,40,80,99.9,2
MCProHosting,Iron,23.99,8,80,160,99.9,4
MCProHosting,Gold,47.99,16,160,320,99.9,4
Sparked Host,Basic,1.0,2,20,40,99.9,1
Sparked Host,Standard,6.0,4,40,80,99.9,2
Sparked Host,Pro,12.0,8,80,160,99.9,4
Sparked Host,Elite,24.0,16,160,320,99.9,4
Hostinger,Panel1,6.99,4,50,80,99.9,1
Hostinger,Panel2,9.49,8,100,160,99.9,2
Hostinger,Panel4,13.99,16,200,320,99.9,4
Hostinger,Panel8,27.99,32,400,640,99.9,8
Nodecraft,Lite2GB,5.96,2,20,40,99.9,1
Nodecraft,Lite4GB,11.92,4,40,80,99.9,1
Nodecraft,Lite8GB,23.84,8,80,160,99.9,2
Nodecraft,Lite16GB,47.68,16,160,320,99.9,4
Nodecraft,Prem2GB,9.98,2,20,40,99.9,1
Nodecraft,Prem4GB,19.98,4,40,80,99.9,2
Nodecraft,Prem8GB,39.98,8,80,160,99.9,4
Nodecraft,Prem16GB,79.98,16,160,320,99.9,4
GGServers,Basic,3.0,2,20,12,99.9,1
GGServers,Standard,6.0,4,40,24,99.9,2
GGServers,Premium,12.0,8,80,48,99.9,4
Akliz,Standard,4.5,2,30,40,99.9,1
Akliz,Advanced,8.5,4,60,80,99.9,2
Akliz,Premium,16.0,8,120,160,99.9,4
Godlike.host,Basic,6.39,2,20,40,99.9,2
Godlike.host,Standard,12.79,4,40,80,99.9,2
Godlike.host,Pro,25.59,8,80,160,99.9,4
Godlike.host,Elite,64.99,32,320,640,99.9,8
Host Havoc,Basic,4.0,2,20,40,99.9,1
Host Havoc,Standard,8.0,4,40,80,99.9,2
Host Havoc,Advanced,16.0,8,80,160,99.9,4
ServerMiner,Basic,5.0,2,20,40,99.9,1
ServerMiner,Standard,10.0,4,40,80,99.9,2
ServerMiner,Premium,20.0,8,80,160,99.9,4
G-Portal,Basic,4.85,2,30,40,99.9,1
G-Portal,Standard,9.7,4,60,80,99.9,2
G-Portal,Premium,19.4,8,120,160,99.9,4
exaroton,PayGo,10.0,4,10,80,99.5,2
Pine Hosting,Standard,4.2,2,30,40,99.8,1
CloudNord,Basic,5.0,2,20,40,99.9,1
