Platform,Tier,Harga (USD/mo),RAM (GB),Storage (GB),Slot Pemain,Uptime (%),vCPU
Aternos,Free,0.0,0.023807836806027907,0.005866383201535622,0.013216118077394826,0.10184393640238551,0.03851856078856727
Minefort,Free,0.0,0.023807836806027907,0.005866383201535622,0.013216118077394826,0.09824944452936014,0.03851856078856727
Server.pro,Free,0.0,0.023807836806027907,0.011732766403071243,0.006608059038697413,0.0958531166140099,0.03851856078856727
FalixNodes,Free,0.0,0.011903918403013953,0.005866383201535622,0.00528644723095793,0.09345678869865966,0.03851856078856727
ScalaCube,Free,0.0,0.011903918403013953,0.009386213122456995,0.006608059038697413,0.0958531166140099,0.03851856078856727
Minefort,Paid,0.024454475008100905,0.04761567361205581,0.046931065612284974,0.02643223615478965,0.10783475619076113,0.07703712157713453
Server.pro,Premium+,0.029355171402509903,0.03571175520904186,0.023465532806142487,0.013216118077394826,0.11023108410611138,0.07703712157713453
Server.pro,Extreme,0.058759349768963895,0.07142351041808372,0.046931065612284974,0.02643223615478965,0.11382557597913676,0.1155556823657018
Shockbyte,Dirt,0.012251740986022497,0.011903918403013953,0.011732766403071243,0.013216118077394826,0.11921731378867481,0.03851856078856727
Shockbyte,Stone,0.024503481972044994,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11921731378867481,0.03851856078856727
Shockbyte,Iron,0.04900696394408999,0.04761567361205581,0.046931065612284974,0.0528644723095793,0.11921731378867481,0.07703712157713453
Shockbyte,Gold,0.09801392788817997,0.09523134722411163,0.09386213122456995,0.1057289446191586,0.11921731378867481,0.07703712157713453
Shockbyte,Titan,0.19602785577635995,0.19046269444822325,0.1877242624491399,0.2114578892383172,0.11921731378867481,0.15407424315426907
BisectHosting,Budget,0.014653082219282907,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11969657937174487,0.07703712157713453
BisectHosting,Premium4GB,0.0489579569801459,0.04761567361205581,0.046931065612284974,0.0528644723095793,0.11969657937174487,0.07703712157713453
BisectHosting,Premium8GB,0.09306422452982688,0.09523134722411163,0.09386213122456995,0.1057289446191586,0.11969657937174487,0.15407424315426907
BisectHosting,Premium16GB,0.17637606323477986,0.19046269444822325,0.1877242624491399,0.2114578892383172,0.11969657937174487,0.15407424315426907
PebbleHost,Basic,0.014702089183226996,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11945694658020983,0.07703712157713453
PebbleHost,Standard,0.02940417836645399,0.04761567361205581,0.046931065612284974,0.0528644723095793,0.11945694658020983,0.07703712157713453
PebbleHost,Pro,0.05880835673290798,0.09523134722411163,0.09386213122456995,0.1057289446191586,0.11945694658020983,0.15407424315426907
PebbleHost,Elite,0.11761671346581597,0.19046269444822325,0.1877242624491399,0.2114578892383172,0.11945694658020983,0.15407424315426907
ScalaCube,Entry,0.012251740986022497,0.011903918403013953,0.023465532806142487,0.013216118077394826,0.11980441412793562,0.03851856078856727
ScalaCube,Small,0.024454475008100905,0.023807836806027907,0.046931065612284974,0.02643223615478965,0.11980441412793562,0.03851856078856727
ScalaCube,Medium,0.09796492092423588,0.09523134722411163,0.09386213122456995,0.0528644723095793,0.11980441412793562,0.07703712157713453
ScalaCube,Large,0.19597884881241587,0.19046269444822325,0.14079319683685493,0.07929670846436895,0.11980441412793562,0.15407424315426907
ScalaCube,XL,0.3920067045887758,0.3809253888964465,0.23465532806142486,0.13216118077394826,0.11980441412793562,0.30814848630853814
Apex Hosting,Basic,0.0367062159941234,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11969657937174487,0.07703712157713453
Apex Hosting,Standard,0.07346143895219089,0.04761567361205581,0.046931065612284974,0.0528644723095793,0.11969657937174487,0.07703712157713453
Apex Hosting,Pro,0.14697188486832585,0.09523134722411163,0.09386213122456995,0.1057289446191586,0.11969657937174487,0.15407424315426907
Apex Hosting,Elite,0.2939927767005958,0.19046269444822325,0.1877242624491399,0.2114578892383172,0.11969657937174487,0.15407424315426907
MCProHosting,Dirt,0.029355171402509903,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11969657937174487,0.07703712157713453
MCProHosting,Stone,0.058759349768963895,0.04761567361205581,0.046931065612284974,0.0528644723095793,0.11969657937174487,0.07703712157713453
MCProHosting,Iron,0.11756770650187187,0.09523134722411163,0.09386213122456995,0.1057289446191586,0.11969657937174487,0.15407424315426907
MCProHosting,Gold,0.23518441996768785,0.19046269444822325,0.1877242624491399,0.2114578892383172,0.11969657937174487,0.15407424315426907
Sparked Host,Basic,0.004900696394408999,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11969657937174487,0.03851856078856727
Sparked Host,Standard,0.02940417836645399,0.04761567361205581,0.046931065612284974,0.0528644723095793,0.11969657937174487,0.07703712157713453
Sparked Host,Pro,0.05880835673290798,0.09523134722411163,0.09386213122456995,0.1057289446191586,0.11969657937174487,0.15407424315426907
Sparked Host,Elite,0.11761671346581597,0.19046269444822325,0.1877242624491399,0.2114578892383172,0.11969657937174487,0.15407424315426907
Hostinger,Panel1,0.0342558677969189,0.04761567361205581,0.058663832015356215,0.0528644723095793,0.11969657937174487,0.03851856078856727
Hostinger,Panel2,0.0465076087829414,0.09523134722411163,0.11732766403071243,0.1057289446191586,0.11969657937174487,0.07703712157713453
Hostinger,Panel4,0.0685607425577819,0.19046269444822325,0.23465532806142486,0.2114578892383172,0.11969657937174487,0.15407424315426907
Hostinger,Panel8,0.13717049207950788,0.3809253888964465,0.4693106561228497,0.4229157784766344,0.11969657937174487,0.30814848630853814
Nodecraft,Lite2GB,0.02920815051067763,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11969657937174487,0.03851856078856727
Nodecraft,Lite4GB,0.05841630102135526,0.04761567361205581,0.046931065612284974,0.0528644723095793,0.11969657937174487,0.03851856078856727
Nodecraft,Lite8GB,0.11683260204271052,0.09523134722411163,0.09386213122456995,0.1057289446191586,0.11969657937174487,0.07703712157713453
Nodecraft,Lite16GB,0.23366520408542105,0.19046269444822325,0.1877242624491399,0.2114578892383172,0.11969657937174487,0.15407424315426907
Nodecraft,Prem2GB,0.04890895001620181,0.023807836806027907,0.023465532806142487,0.02643223615478965,0.11969657937174487,0.03851856078856727
Nodecraft,Prem4GB,0.0979159139602918,0.04761567361205581,0.046931065612284974,0.0528644723095793,0.11969657937174487,0.07703712157713453
Nodecraft,Prem8GB,0.19592984184847176,0.09523134722411163,0.09386213122456995,0.1057289446191586,0.11969657937174487,0.15407424315426907
Nodecraft,Prem16GB,0.39195769762483174,0.19046269444822325,0.1877242624491399,0.2114578892383172,0.11969657937174487,0.15407424315426907
GGServers,Basic,0.014702089183226996,0.023807836806027907,0.023465532806142487,0.007929670846436896,0.11969657937174487,0.03851856078856727
