Platform,Tier,V
Aternos,Free,0.43270594904448345
Minefort,Free,0.43254401648178153
Server.pro,Free,0.4324318842751614
FalixNodes,Free,0.4275609763681996
ScalaCube,Free,0.4281394165741151
Minefort,Paid,0.43877968083896796
Server.pro,Premium+,0.42620399773754286
Server.pro,Extreme,0.43311100985392825
Shockbyte,Dirt,0.422450826074462
Shockbyte,Stone,0.4210096927083629
Shockbyte,Iron,0.42529644675823247
Shockbyte,Gold,0.4255632596955777
Shockbyte,Titan,0.4753495066820625
BisectHosting,Budget,0.43360741909480544
BisectHosting,Premium4GB,0.42537216716004334
BisectHosting,Premium8GB,0.449493564027581
BisectHosting,Premium16GB,0.4932461149291458
PebbleHost,Basic,0.43355860459833173
PebbleHost,Standard,0.43936515540852705
PebbleHost,Pro,0.47593327631909815
PebbleHost,Elite,0.5441778018094319
ScalaCube,Entry,0.42374590401309326
ScalaCube,Small,0.4238253544979845
ScalaCube,Medium,0.41730191583627124
ScalaCube,Large,0.4337762563693593
ScalaCube,XL,0.5043617352183792
Apex Hosting,Basic,0.4185653480497992
Apex Hosting,Standard,0.40640730861018853
Apex Hosting,Pro,0.4020865579983668
Apex Hosting,Elite,0.39118461596751986
MCProHosting,Dirt,0.4237112011641373
MCProHosting,Stone,0.41797473007228003
MCProHosting,Iron,0.4287469944245969
MCProHosting,Gold,0.44005084491485275
Sparked Host,Basic,0.43391133014212574
Sparked Host,Standard,0.4393830106054484
Sparked Host,Pro,0.4759520311349448
Sparked Host,Elite,0.544196042679556
Hostinger,Panel1,0.43089778230096165
Hostinger,Panel2,0.4701862615984695
Hostinger,Panel4,0.5933669975149262
Hostinger,Panel8,0.8096432594464608
Nodecraft,Lite2GB,0.41782085521567286
Nodecraft,Lite4GB,0.411600932824773
Nodecraft,Lite8GB,0.40912454652916397
Nodecraft,Lite16GB,0.4413991305771225
Nodecraft,Prem2GB,0.40374040679315304
Nodecraft,Prem4GB,0.38591497294916804
Nodecraft,Prem8GB,0.3544938600649466
Nodecraft,Prem16GB,0.3348417679693877
GGServers,Basic,0.42572874158107676
GGServers,Standard,0.4349529898111978
GGServers,Premium,0.4638246897174191
Akliz,Standard,0.42405205657032474
Akliz,Advanced,0.4340139257308033
Akliz,Premium,0.47043944090648565
Godlike.host,Basic,0.422351935768075
Godlike.host,Standard,0.414945421875122
Godlike.host,Pro,0.4218139642344417
Godlike.host,Elite,0.6135749484248583
Host Havoc,Basic,0.4243466567936114
Host Havoc,Standard,0.4324840014141881
Host Havoc,Advanced,0.4611889090431592
ServerMiner,Basic,0.4210447225779896
ServerMiner,Standard,0.42533580394769865
ServerMiner,Premium,0.44541982836451927
G-Portal,Basic,0.42289263142581063
G-Portal,Standard,0.429722846489291
G-Portal,Premium,0.4571917601208783
exaroton,PayGo,0.42070494698117983
Pine Hosting,Standard,0.4250316228549449
CloudNord,Basic,0.4210447225779896
